noc,display_name
"TAN","Tanzania"
"URS","Soviet Union"
"GDR","East Germany"
"SYR","Syria"
"IRI","Iran"
"SMR","San Marino"
"CIV","Ivory Coast"
"CZE","Czechia"
"BAH","Bahamas"
"KSA","Saudi Arabia"
"IOA","IOA"
"SRI","Sri Lanka"
"WIF","West Indies"
"HKG","Hong Kong"
"DOM","Dominican Republic"
"RUS","Russia"
"UAE","United Arab Emirates"
"FRG","West Germany"
"BUR","Burkina Faso"
"PRK","North Korea"
"USA","USA"
"MKD","North Macedonia"
"SCG","Serbia & Montenegro"
"UAR","United Arab Republic"
"EUN","Unified Team"
"NZL","New Zealand"
"ISV","Virgin Islands"
"PUR","Puerto Rico"
"AHO","Netherlands Antilles"
"CHN","China"
"KOR","South Korea"
"GBR","Great Britain"
"CRC","Costa Rica"
"MDA","Moldova"
"TPE","Chinese Taipei"
"TTO","Trinidad & Tobago"
"RSA","South Africa"
