Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20752.32828,22427.99324,23482.91108,25023.38142,26784.59796,27191.13601,27182.28175,28716.89775,28741.84795,28654.44014,30746.68472,32179.94073,31988.18936,32654.42589,35653.97448,36265.53038,37361.93704,39074.48384,40054.63947,35167.53132,34227.82873,35778.4918,34762.78818,36877.01413,36763.209,37231.9185,37444.44109,38697.94951,40379.29372,40124.758,30437.20252,38226.14616,45235.89323,,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1819.600125,1832.416268,1791.803455,1784.12118,1809.697073,1880.925648,1967.91396,2036.215251,2045.831039,2080.373399,2146.063937,2217.809932,2281.596446,2341.819945,2474.962993,2641.08577,2827.791916,3016.010898,3127.026632,3085.678941,3194.924205,3300.543358,3213.988308,3337.146772,3473.846428,3502.186627,3595.616289,3640.219959,3694.849853,3782.499708,3666.197589,3966.734069,4294.047862,,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.116265,970.6451147,971.8110235,1075.671373,1120.893128,1287.0644,1336.210339,1575.316779,1771.197985,1749.936995,1994.535277,2138.75306,2229.679539,2289.371986,2217.296786,2338.778697,2436.00632,2589.410396,2568.341909,2138.870247,,,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.87486,1778.024669,1815.553713,1791.135279,1781.56043,1809.014185,1878.080402,1942.164814,1980.821526,1987.003533,2049.466623,2145.034481,2317.556326,2425.128757,2612.900185,2772.470195,2926.860534,3081.369875,3246.186491,3369.514884,3543.26411,3690.219495,3806.440998,3970.844354,4179.97684,4130.052796,4072.369764,4138.648937,4272.102728,4522.059042,4502.346998,4750.719415,5148.354257,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3283.170843,3315.70892,3091.201342,2330.662325,2336.379068,2654.402791,2968.586576,3133.186154,3210.082309,3220.724746,3285.953416,3388.148688,3782.892225,3839.572827,4223.637787,4835.669522,5364.437662,6056.779188,6615.114983,6471.284879,6586.465819,6700.1141,7351.760767,7566.423051,7999.826851,7127.339573,6850.384625,6998.796187,7353.349988,7533.511854,6455.119982,7414.278958,7928.619065,,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549.234816,1908.935772,1823.137453,2057.278867,2289.68406,2665.546607,2979.820408,2717.138995,3021.028788,3471.646616,3861.300936,4300.827794,4751.757727,5000.336699,5427.855813,5865.291354,6566.549325,7284.990429,8228.375437,8812.739797,9627.076973,10207.72477,10526.23881,10570.97316,11259.30368,11658.83071,12078.78426,12770.96642,13498.15799,14618.30061,14437.17307,16262.66345,19496.21485,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24353.97815,24949.96273,24924.32169,24452.40063,24781.75975,25217.81696,26362.8942,29007.30031,30036.89449,31482.26276,33108.59029,35673.35583,36257.12503,38524.3792,41094.34471,43051.81171,46285.28552,49542.36197,49010.40199,48102.25618,49275.55366,50973.81968,49034.32921,47884.19422,49823.91761,50955.1889,52790.87132,53031.66191,55354.3891,57573.69305,51881.28967,58829.85007,67841.33464,,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6702.108963,7293.915938,7640.59996,7833.35611,8015.912256,8198.589408,8525.894095,8848.913778,9229.244243,9337.718717,9965.203067,10130.94118,10101.33645,10503.07852,11523.51352,12241.5852,13018.18004,13588.0366,14238.39678,14015.88676,14495.35622,15043.58656,15917.02167,15849.26177,15589.08889,14117.25402,13685.60719,14299.43659,15286.18311,15366.14979,14083.87109,15392.41069,17182.00994,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86852.68447,85681.69886,85950.19452,84807.09131,88387.65253,92124.42734,93898.17844,96815.93874,92308.65444,90839.63316,97390.29906,95748.90685,94688.14387,100101.5581,107548.4012,108491.2949,107345.5157,94896.5016,83865.411,69931.73202,67759.82926,72666.74545,74503.06627,75169.05015,77756.47332,68409.23297,67256.77453,69205.72853,76767.49452,78839.09248,66153.26386,68912.54555,78915.03148,,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7183.583826,7990.188004,8699.39508,9506.505431,10138.68165,9925.129895,10531.84582,11444.47406,11880.48063,11506.69888,11542.986,11159.32992,9990.720222,10974.32417,12162.33747,13513.67029,14896.73354,16510.44824,17336.93282,16249.73013,18063.91434,19322.22712,19629.89804,20108.2057,19649.35289,20058.33864,20248.72139,23514.66709,24498.37893,23535.01275,22302.15049,26086.80236,29037.40697,,
