Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2171823937,2344763491,2482690779,2664118206,2882679834,2956105831,2991158994,3201942230,3265724421,3306155456,3558181062,3706984288,3671954967,3712732211,3983528834,3968266358,4013005074,4136988627,4212933631,3720958110,3619247368,3741188430,3702250136,3940359680,3877842933,3853659710,3919928172,4196225613,4296168382,4197234634,3190629466,4072498933,4498413796,
Africa Eastern and Southern,AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059045934372,1058797299090,1035140611503,1026268384382,1044497439764,1091485445636,1152035206434,1198796854615,1221385500419,1254442510642,1294884590509,1341982024663,1394105008347,1437275474738,1520051077141,1616991469940,1726319624336,1844882194687,1930157605766,1947850163276,2052552952502,2141358700272,2203258425050,2298682176364,2397553752889,2477152513411,2542277141651,2616189049486,2691214902204,2755004847625,2684748991491,2807338948704,2911312563432,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37931379899,41281584750,41865355062,46566715046,49061481752,55844878994,58036781459,70451155676,80569661674,80913174282,91231454559,96341095376,98965950297,100402257642,102671664130,105389386367,106642706594,110814146352,108208794211,85767546198,,
Africa Western and Central,AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687796703769,696455759320,713159562738,705745558597,705574579003,721593352964,755517795127,788572101052,817018373466,830099531190,859609529461,903961452308,985888236144,1038627042422,1119072540520,1183326285838,1246109454550,1311782109030,1392880913340,1475905389758,1575855330074,1652307826094,1740032228986,1843252550738,1950407915434,2006157807625,2015377491230,2067103782854,2129467417511,2201334665357,2184420717653,2271727072236,2358351988676,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85939173895,86791139889,81724029491,62123814348,62955878002,72399259721,82205283158,88185123455,92322016744,94336012047,97217622733,101306594541,115150838445,118593848515,131579874934,151356330124,168837986251,192492188139,213993565543,215833910211,225327096984,233150573548,253066545188,265605013214,278413972399,281041007465,273789836894,273386955627,269788194480,267893544947,252789131670,255820605534,263611373954,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17675774518,12726179099,11811534492,12940647700,14015092416,15882229742,17327512560,15435350947,16798203491,18963626918,20280881517,21962838426,22959187897,24228518161,25564640477,26977450967,28569837915,30279245461,32550201415,33642029355,34889118576,35777188344,36284237970,36647812399,37298109086,38125652069,39389510071,40887335077,42530738387,43418657715,41984938017,45725177900,47945776195,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2631777168,2698782307,2723859771,2695763583,2760008542,2836115822,2967987796,3237115196,3340534339,3477465478,3600163061,3892473178,4069439108,4423244434,4783105285,5041287550,5283707374,5365773291,5067479953,4798759268,4703985788,4703606188,4469627945,4311063580,4419032681,4482407814,4648690713,4664778525,4738890917,4834405520,4293728511,4649558371,5059164905,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456762973140,2481349418847,2608655127005,2685637969600,2766920181863,2846590325623,2985067243845,3121666145334,3300248894978,3378265520106,3597167079247,3665054387318,3687703921438,3831688187266,4169301355077,4389541981257,4645529765029,4860626442466,5139604532812,5191116671835,5434138646101,5652574332460,5893855675796,6037546133715,6190409667117,6446208036685,6703018490549,6805908516783,6995438780301,7133495877427,6837263287725,7089144693773,7525063266355,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205116039146,206880205166,213800233959,216496663164,231426594663,246904142561,261220642391,282615654334,283440876073,291666935853,323320685688,327844217001,335822164427,365376331073,400329826272,419766404588,461060168109,475742122797,490927032453,465188111523,472644379393,502024529761,511183870861,537027076395,559397969509,597363039192,630585329390,635220564856,643566816035,650699776863,618444247720,645375981370,696040694386,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557227877218,608120115357,656388381926,710258039063,751710123737,730322395052,770685048565,833195673310,865275196915,835981676841,829385790280,792819500436,706445900243,768874812647,838300927446,912504474651,985935092174,1074744683132,1118349580193,1052159779848,1158695146796,1228262643677,1215655504668,1244895955615,1213616509106,1246762315672,1220825572073,1255234577175,1222380111752,1197921984789,1079321900606,1195003729130,1254232534982,
